name,votes,rate
Amaravati,390,3.6
Amaravati - Pure Veg Restaurant,93,3.5
Amaravati Authentic Andhra Restaurant,741,3.02
Amaravati Food Court,20,3.3333333333333335
Amaravati Grand,42,3.3833333333333333
Amarnath Ice Cream Parlour,0,
Amazing Blue Pub,60,3.4
Amba Food,0,
Ambara Gardenia,1282,3.8
Ambarsaria,114,2.7
Amber Rush Express,0,
Amber Rush Restobar,1676,4.1
Amber Rush by The Pool,291,3.9
Ambika Biryani Corner,74,3.5
Ambika Vegetarian Hotel,62,3.7
Ambujam's Chettinad Mess,87,3.425
Ambur Azad Darbar,48,3.1625
Ambur Biriyani,57,3.2600000000000002
Ambur Biriyani Centre,12,3.25
Ambur Biriyani Classic,272,3.3
Ambur Biriyani Point,260,3.6
Ambur Biriyani Zone,4,3.2
Ambur Biryani,190,3.414285714285714
Ambur Biryani Center,0,
Ambur Biryani Hotel,78,3.2000000000000006
Ambur Biryani Mess,72,3.4
Ambur Biryani Point,2578,3.975
Ambur Biryani Zone,0,
Ambur Chicken Biryani,9,3.1
Ambur Darbar Biriyani Point,72,3.2000000000000006
Ambur Dum Biriyani,111,3.22
Ambur Dum Biriyani & Parota Centre,0,
Ambur Dum Biryani,0,
Ambur Hot Dum Biriyani,22,3.1500000000000004
Ambur Hot Dum Biriyani & Kabab Center,0,
Ambur Hot Dum Biryani,695,3.2372549019607844
Ambur Hotel,0,
Ambur Khousia Biryani Corner,0,
Ambur Royal Biryani,0,
Ambur Star Biryani,45,3.5
Ambur Star Briyani,2908,3.5
Ambur Star Dum Biriyani,21,3.28
Ambur Star Dum Biryani,173,3.38
Ambur Tasty Biriyani,8,3.2
Ambuur Biryani,0,
Amchoor,76,3.8
Amdo's Corner Tibetan Foods,329,4.0
American Bites,262,2.881818181818182
American Desserts,92,3.6
Amexicano,62,3.8
Amigos Kitchen,258,3.7
Amjad Bhai's Star Hotel - Home Food Only,0,
Amma - Manae,0,
Amma Family Restaurant,0,
Amma Mess,0,
Amma's Biryani & Rice,0,
Amma's Cafe,12,3.2
Amma's Pastries,2431,3.9549999999999996
Amma's Special,0,
Amma's Thindi,0,
Ammachide Addukala,6,3.5
Ammayi Thakkaram,0,
Ammi's Biryani,5360,2.569230769230769
Ammus Hot N Cool,925,3.409090909090909
Amnesia - The Poolside Bar,135,3.7000000000000006
Amoeba Sports Bar,2880,3.9
Amontron,3990,3.9000000000000004
Amour Fine Patisserie,413,4.0
Amravathi Restaurants & Caterers,72,3.1
Amrit,72,3.4
Amrita Nadia Sweets,8,3.2
Amrith Ice Cream,162,4.1
Amritsari Haveli,0,
Amritsari Kulcha Bite,1389,3.8999999999999995
Amritsari Kulcha Land,1300,4.0200000000000005
Amrut,1000,3.5
Amruta,20,3.8
Amruth Parkland,216,3.5
Amrutha Foods,0,
Amrutha Grand Restaurant,1022,3.2
Amrutha Hotel,0,
Amrutha Mess,57,3.4
Amrutha Restaurant,0,
Amrutha Sweets,432,3.7
Amul Ice Cream,0,
An Egg Story,5197,4.06
Ana's Midnight Cafe,0,
Anamika Roll Centre,8,3.2
Anand Delhi Se,0,
Anand Donne Biriyani,319,3.6571428571428575
Anand Sagar Inn,18,3.266666666666667
Anand Sweets And Savouries,11863,4.2
Anand Sweets and Savouries,3279,3.9269230769230767
Anand Vihar,58,2.5
Anda Ka Funda,1089,3.235294117647059
Anda Special-Pav Bhaji,8,3.4
Andal Mess,651,3.3444444444444446
Ande Ka Funda,2370,3.341666666666667
Andhra & Chettinad Cuisine,0,
Andhra Amigos,162,3.6
Andhra Bhojanam,402,3.4285714285714284
Andhra Biriyani Palace,0,
Andhra Biryani & Curries,8,3.1
Andhra Biryanis,1378,4.0
Andhra Box,16,3.2
Andhra Central,39,3.1
Andhra Chettinad Cuisine,48,3.6
Andhra Express,38,3.7
Andhra Food Cafe (AFC),92,3.3
Andhra Ghumaghumalu,36,3.5
Andhra Grills,220,3.0
Andhra Kafe,735,3.7999999999999994
Andhra Kitchen,1565,3.9799999999999995
Andhra Mess,829,3.1727272727272724
Andhra Paris,24,3.2
Andhra Ruchi's Restaurant,72,3.1
Andhra Ruchies,0,
Andhra Ruchulu,14201,3.904347826086956
Andhra Spice,0,
Andhra Spice Mess,18,3.4
Andhra Spices,24,3.2000000000000006
Andhra Spicy,22,3.5
Andhra Spicy Food Court,44,3.2
Andhra Spicy Inn,0,
Andhra Star Biryani,24,3.2
Andhra Taste,0,
Andhra Vantakam,1274,3.9
Andhra Vantillu,20,3.3
Andhra Vilaas,260,3.7
Andhra Vindu Multi Cuisine Restaurant,44,3.3
Andy's CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,24,3.1
Angaar Biriyani,184,3.7
Angaar Indian Grill & Restaurant,493,3.9
Angel Mess,34,3.5
Angel Mutton Leg Soup,47,3.5
Angel Restaurant,1155,2.8
Angel's Kitchen,10,3.5
Angiie's Cafe,118,3.7
Anika's India Kitchen,32,3.2999999999999994
Anil Andhra Curry Point,0,
Aniram's,3697,4.1
Anjappaar,192,3.9
Anjappar,15682,3.6049999999999995
Anju's Cafe,196,3.4777777777777774
Anmol Foods,0,
Anmol Sweets And Snacks,0,
Anna Kuteera,2685,3.8666666666666663
Annabell,1330,4.0
Annalakshmi,112,3.5
Annam Ilaiyil,0,
Annapooraneshwari Mess,0,
Annapoorani,868,3.9
Annapoorni Grand,328,3.9
Annappa's Naati Mane,292,3.5
Annapurna Andhra Hotel,10,3.3
Annapurna Bengali Restaurant,200,3.9
Annapurna Benne Dose,0,
Annapurna Bhavan,0,
Annapurna Foods,60,3.5
Annapurna Veg,0,
Antarastriya,1846,3.9
Antilla Aromas,139,3.7
Anu Momos Chinese Kitchen,474,3.7
Anupam's Coast II Coast,17019,4.135
Anupam's Coastal Express,179,4.1
Anushka Restaurant,14,3.4
Anvar Bhai's,0,
Anvari Hotel & Guest,0,
Apna Hotel,78,3.5
Apna Odisha Kolkatta Hotel,0,
Apna Punjab,5245,3.6727272727272724
Apna Veg Dhaba,140,3.1
Apoorva Halli Mane,0,
Apoorva Multi Cuisine Restaurant,1180,3.9
Appam & Curry,180,3.8
Appam Centre,16,3.2
Appana Restaurant,81,3.5
Appetite Workstation,84,3.6
Apple Cafe,14,3.3
Apsara Hotel,0,
Apsara Ice Cream,3920,4.02972972972973
Aqni,1434,3.9
Aqua - The Park Bangalore,2930,4.0
Arab 360,0,
Arabian Bites,288,3.4
Arabian Delight,0,
Arabian Fame Grill,0,
Arabian Mataam,38,3.7
Arabian Mexico,183,3.375
Arabian Nights,0,
Arabian Shawarma,90,3.7000000000000006
Arabian Tea,0,
Arafa Juice Center,50,3.5
Aramane Brundavan,8,3.3
Aramane Donne Biriyani,1720,3.9000000000000004
Aramane Donne Biryani,113,3.35
Aramane Donne Briyani,1012,3.9333333333333336
Aramane Restaurant,750,2.9444444444444446
Arbor Brewing Company,92362,4.5
Archana's First Crush,126,3.7
Arcots Home Kitchen,0,
Arena - Artisanal Brewkitchen,531,4.1
Arham's Resto,0,
Arina's,30,3.2999999999999994
Arirang Korean Restaurant,477,4.0
Armaani Caffe,144,3.5
Armani Kabab Centre,0,
Arogya,9,3.4
Arogya Thaana,72,3.8
Aroma Cafe,0,
Aroma Fine Dine,1517,4.0
Aroma Of Asia,294,3.9
Aroma Spice,372,3.75
Aroma's Hyderabad House,1066,4.2
Aromas Of South,368,3.7
Around The Corner,44,3.6
Art Cafe,42,3.5
Art Of Flavours,0,
Art of Biryani & Curries,18,3.4
Art of Delight,23589,4.35
Artinci Artisanal Ice Cream,290,3.8444444444444446
Artville Cafe,554,3.7999999999999994
Aruba's Lucknow Sheermal House,0,
Arun Ice Cream,21,3.4
Arun Icecreams,36,3.3000000000000003
Arusuvai D' Kitchen,26,3.7
Arya Bhavan Sweets,129,3.2
Arya Hungry?,3067,4.3
Arya S.L.Bakery,0,
Arya Vysya Refreshment,0,
Aryan's Kitchen,194,3.1
Arzak,0,
As On Fire,942,3.6100000000000003
Asaivam Restaurant,349,4.0
Ascharya Hotel,175,3.39375
Asgardian Moreover Chai,0,
Asha Food Camp,671,4.05
Asha Sweets Center,294,4.119999999999999
Asha Sweets Centre,669,3.8214285714285716
Asha Tiffins,1698,4.3
Asharfilal,31,3.533333333333333
Ashirvaad Grand,1371,4.0
Ashirvad Resturant,7,3.2
Ashirvad Veg,36,3.4
Ashirwadh Delicacy,0,
