location,cuisines,approx_cost(for two people)
BTM,"North Indian, Fast Food, Chinese, Beverages",500.0
BTM,"North Indian, Fast Food, Kebab, Rolls, Beverages",300.0
BTM,"North Indian, Fast Food, Rolls",250.0
BTM,"North Indian, Fast Food, South Indian",700.0
BTM,"North Indian, Fast Food, Street Food",550.0
BTM,"North Indian, Kashmiri",400.0
BTM,"North Indian, Kebab",200.0
BTM,"North Indian, Kebab, Fast Food",500.0
BTM,"North Indian, Kerala",494.7368421052632
BTM,"North Indian, Kerala, Chinese",600.0
BTM,"North Indian, Mediterranean, European, BBQ",1100.0
BTM,"North Indian, Momos, Rolls, Fast Food",331.25
BTM,"North Indian, Mughlai, Biryani, Rolls",700.0
BTM,"North Indian, Mughlai, Fast Food",500.0
BTM,"North Indian, Rolls",200.0
BTM,"North Indian, Rolls, Biryani",300.0
BTM,"North Indian, South Indian",312.0
BTM,"North Indian, South Indian, Asian, Continental",1200.0
BTM,"North Indian, South Indian, Biryani",500.0
BTM,"North Indian, South Indian, Chinese",266.07142857142856
BTM,"North Indian, South Indian, Chinese, Fast Food",430.0
BTM,"North Indian, South Indian, Chinese, Kerala",500.0
BTM,"North Indian, South Indian, Chinese, Pizza",300.0
BTM,"North Indian, South Indian, Chinese, Street Food",292.85714285714283
BTM,"North Indian, South Indian, Chinese, Street Food, Mithai",500.0
BTM,"North Indian, South Indian, Gujarati",350.0
BTM,"North Indian, South Indian, Mangalorean",250.0
BTM,"North Indian, Street Food",282.14285714285717
BTM,"North Indian, Street Food, Mithai",250.0
BTM,Oriya,200.0
BTM,"Oriya, Bengali",500.0
BTM,"Oriya, Fast Food",250.0
BTM,Pizza,637.5
BTM,"Pizza, Burger",400.0
BTM,"Pizza, Fast Food",516.6666666666666
BTM,"Pizza, Italian, Beverages",700.0
BTM,Rajasthani,500.0
BTM,Rolls,253.33333333333334
BTM,"Rolls, Chinese",300.0
BTM,"Rolls, Kebab",250.0
BTM,"Salad, Fast Food",600.0
BTM,Sandwich,100.0
BTM,"Sandwich, Fast Food",100.0
BTM,"Sandwich, Fast Food, Burger, Rolls",300.0
BTM,"Sandwich, Juices, Burger",150.0
BTM,Seafood,300.0
BTM,"Seafood, BBQ, Biryani",250.0
BTM,"Seafood, Mangalorean",600.0
BTM,"Seafood, Salad, North Indian, Biryani, Chinese",500.0
BTM,South Indian,193.36283185840708
BTM,"South Indian, Andhra, Chinese",300.0
BTM,"South Indian, Beverages",250.0
BTM,"South Indian, Biryani",300.0
BTM,"South Indian, Biryani, Chinese",300.0
BTM,"South Indian, Biryani, Fast Food",200.0
BTM,"South Indian, Chettinad, North Indian",300.0
BTM,"South Indian, Chinese",279.06976744186045
BTM,"South Indian, Chinese, North Indian",281.25
BTM,"South Indian, Chinese, North Indian, Sandwich, Rolls",300.0
BTM,"South Indian, Fast Food",300.0
BTM,"South Indian, Fast Food, Chinese",300.0
BTM,"South Indian, Kerala, Chinese",350.0
BTM,"South Indian, Kerala, North Indian",300.0
BTM,"South Indian, Mangalorean",300.0
