location,cuisines,approx_cost(for two people)
Basaveshwara Nagar,Street Food,100.0
Basaveshwara Nagar,"Street Food, Beverages",150.0
Bellandur,"American, Continental",200.0
Bellandur,"American, Tex-Mex, Burger, BBQ",1800.0
Bellandur,Andhra,550.0
Bellandur,"Andhra, Beverages, Biryani, Chinese, Fast Food, Hyderabadi, North Indian, South Indian",750.0
Bellandur,"Andhra, Biryani",400.0
Bellandur,"Andhra, Biryani, Chinese, North Indian",600.0
Bellandur,"Andhra, Biryani, North Indian",900.0
Bellandur,"Andhra, Biryani, South Indian, Chinese",500.0
Bellandur,"Andhra, Chettinad",700.0
Bellandur,"Andhra, North Indian",642.8571428571429
Bellandur,"Andhra, South Indian",300.0
Bellandur,"Andhra, South Indian, Chinese, North Indian",800.0
Bellandur,"Andhra, South Indian, North Indian, Biryani",300.0
Bellandur,Arabian,150.0
Bellandur,"Arabian, North Indian, Seafood, Chinese, Biryani",800.0
Bellandur,"Asian, Chinese",350.0
Bellandur,"Asian, North Indian, South Indian, Momos",2000.0
Bellandur,"Australian, Continental",400.0
Bellandur,"BBQ, Continental, North Indian, Chinese, Beverages",700.0
Bellandur,Bakery,293.75
Bellandur,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",1000.0
Bellandur,"Bakery, Desserts",478.7878787878788
Bellandur,"Bakery, Desserts, Italian",500.0
Bellandur,"Bakery, Fast Food",600.0
Bellandur,"Bakery, Fast Food, Fast Food",200.0
Bellandur,"Bakery, Fast Food, Italian",600.0
Bellandur,"Bakery, Fast Food, Pizza, Burger",600.0
Bellandur,"Bakery, Fast Food, Pizza, Burger, Cafe",600.0
Bellandur,"Bengali, North Indian",350.0
Bellandur,"Bengali, Rolls, Chinese",400.0
Bellandur,"Beverages, Desserts",225.0
Bellandur,"Beverages, Desserts, Ice Cream",400.0
Bellandur,"Beverages, Fast Food",407.6923076923077
Bellandur,"Beverages, Ice Cream",200.0
Bellandur,"Beverages, Ice Cream, Fast Food",300.0
Bellandur,"Beverages, Ice Cream, Sandwich, Fast Food",250.0
Bellandur,"Bihari, Chinese",250.0
Bellandur,Biryani,339.3939393939394
Bellandur,"Biryani, Andhra",750.0
Bellandur,"Biryani, Andhra, North Indian, Chinese",900.0
Bellandur,"Biryani, Chinese",400.0
Bellandur,"Biryani, Chinese, North Indian",450.0
Bellandur,"Biryani, Fast Food",350.0
Bellandur,"Biryani, Hyderabadi, Chinese, North Indian",800.0
Bellandur,"Biryani, Kebab",750.0
Bellandur,"Biryani, Mughlai, Chinese, North Indian, Kebab",550.0
Bellandur,"Biryani, North Indian",995.4545454545455
Bellandur,"Biryani, North Indian, Chinese",600.0
Bellandur,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0
Bellandur,"Biryani, North Indian, Kebab",600.0
Bellandur,"Biryani, North Indian, Mughlai, Fast Food",500.0
Bellandur,"Biryani, South Indian",250.0
Bellandur,"Burger, Fast Food",490.0
Bellandur,"Burger, Fast Food, Beverages",600.0
Bellandur,Cafe,471.42857142857144
Bellandur,"Cafe, Bakery, Italian",650.0
Bellandur,"Cafe, Burger, Italian, Salad",1000.0
Bellandur,"Cafe, Continental, Tea",500.0
Bellandur,"Cafe, Desserts",700.0
Bellandur,"Cafe, Desserts, Ice Cream",600.0
Bellandur,"Cafe, European, Beverages, Italian",550.0
Bellandur,"Cafe, Fast Food",650.0
Bellandur,"Cafe, Healthy Food, Salad",400.0
Bellandur,"Chettinad, South Indian",400.0
Bellandur,Chinese,500.0
Bellandur,"Chinese, Asian, Momos",600.0
Bellandur,"Chinese, Asian, Seafood",800.0
Bellandur,"Chinese, Biryani",250.0
Bellandur,"Chinese, Italian, North Indian",700.0
Bellandur,"Chinese, North Indian",500.0
Bellandur,"Chinese, North Indian, Salad, Fast Food",1500.0
Bellandur,"Chinese, South Indian, North Indian, Biryani",700.0
Bellandur,"Chinese, Thai",400.0
Bellandur,"Chinese, Thai, Momos",600.0
Bellandur,Continental,750.0
Bellandur,"Continental, Beverages",700.0
Bellandur,"Continental, Biryani, Italian, North Indian, Chinese",250.0
Bellandur,"Continental, Chinese, Thai, BBQ, Steak",900.0
Bellandur,"Continental, North Indian, Beverages",1200.0
Bellandur,"Continental, North Indian, Fast Food",500.0
Bellandur,"Continental, Pizza",500.0
Bellandur,"Desserts, Bakery",368.42105263157896
Bellandur,"Desserts, Bakery, Beverages",600.0
Bellandur,"Desserts, Beverages",733.3333333333334
Bellandur,"Desserts, Beverages, Ice Cream",400.0
Bellandur,"Desserts, Ice Cream",250.0
Bellandur,"European, American",1700.0
Bellandur,Fast Food,311.1111111111111
Bellandur,"Fast Food, Arabian, Beverages",250.0
Bellandur,"Fast Food, Beverages",335.7142857142857
Bellandur,"Fast Food, Biryani, Chinese",400.0
Bellandur,"Fast Food, Burger",200.0
Bellandur,"Fast Food, Burger, Beverages",800.0
Bellandur,"Fast Food, Cafe",200.0
Bellandur,"Fast Food, Coffee",100.0
Bellandur,"Fast Food, Continental",400.0
Bellandur,"Fast Food, Continental, Italian, Rolls, Sandwich",400.0
Bellandur,"Fast Food, Juices",200.0
Bellandur,"Fast Food, North Indian",150.0
Bellandur,"Fast Food, Rolls",137.5
Bellandur,"Fast Food, Street Food",372.22222222222223
Bellandur,"Fast Food, Street Food, Beverages",400.0
Bellandur,"Fast Food, Tea",200.0
Bellandur,"Finger Food, North Indian",2000.0
Bellandur,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0
Bellandur,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0
Bellandur,"Healthy Food, Salad",600.0
Bellandur,"Hyderabadi, Biryani",400.0
Bellandur,"Hyderabadi, North Indian, Biryani",700.0
Bellandur,Ice Cream,225.0
Bellandur,"Ice Cream, Desserts",271.05263157894734
Bellandur,"Ice Cream, Desserts, Beverages, Sandwich",400.0
Bellandur,"Ice Cream, Fast Food",300.0
Bellandur,"Italian, Fast Food",400.0
Bellandur,"Italian, Pizza",600.0
Bellandur,"Juices, Fast Food",200.0
Bellandur,"Kebab, Biryani",250.0
Bellandur,Kerala,212.5
Bellandur,"Kerala, Beverages",150.0
Bellandur,"Kerala, Biryani, South Indian",300.0
Bellandur,"Kerala, Seafood, Biryani, South Indian",350.0
Bellandur,"Lebanese, Turkish, BBQ, Burger",600.0
Bellandur,Mangalorean,600.0
Bellandur,"Mediterranean, Italian, Mexican",1700.0
Bellandur,"Mexican, Fast Food",400.0
Bellandur,"Mexican, Tex-Mex",330.0
Bellandur,Mithai,300.0
Bellandur,"Mithai, Fast Food",300.0
Bellandur,"Mithai, Street Food",400.0
Bellandur,"Mithai, Street Food, Fast Food",200.0
Bellandur,Modern Indian,1800.0
Bellandur,North Indian,493.167701863354
Bellandur,"North Indian, Andhra",800.0
Bellandur,"North Indian, Biryani",663.6363636363636
Bellandur,"North Indian, Biryani, Chinese",575.0
Bellandur,"North Indian, Biryani, Chinese, Beverages",650.0
Bellandur,"North Indian, Biryani, Desserts",300.0
Bellandur,"North Indian, Biryani, Fast Food",500.0
Bellandur,"North Indian, Biryani, South Indian",400.0
Bellandur,"North Indian, Chinese",521.25
Bellandur,"North Indian, Chinese, Andhra, South Indian, Biryani",200.0
Bellandur,"North Indian, Chinese, Biryani",487.5
Bellandur,"North Indian, Chinese, Biryani, Kebab",350.0
Bellandur,"North Indian, Chinese, Biryani, Mangalorean",500.0
Bellandur,"North Indian, Chinese, Biryani, South Indian",300.0
Bellandur,"North Indian, Chinese, Continental",600.0
Bellandur,"North Indian, Chinese, Continental, Mexican",1400.0
Bellandur,"North Indian, Chinese, Hyderabadi",400.0
Bellandur,"North Indian, Chinese, Hyderabadi, Biryani",600.0
Bellandur,"North Indian, Chinese, Juices",500.0
Bellandur,"North Indian, Chinese, Rajasthani",450.0
Bellandur,"North Indian, Chinese, South Indian",200.0
Bellandur,"North Indian, Chinese, Street Food, Fast Food, Mithai",500.0
Bellandur,"North Indian, Continental, Asian",1800.0
Bellandur,"North Indian, Fast Food, Chinese",500.0
Bellandur,"North Indian, Italian, Chinese, Asian",1000.0
Bellandur,"North Indian, Juices",200.0
Bellandur,"North Indian, Kashmiri",400.0
Bellandur,"North Indian, Mughlai, Biryani",600.0
Bellandur,"North Indian, Mughlai, Biryani, Chinese",520.0
Bellandur,"North Indian, Mughlai, Chinese, Arabian, Kerala",500.0
Bellandur,"North Indian, Mughlai, Chinese, Kebab, Biryani",550.0
Bellandur,"North Indian, Mughlai, Fast Food",500.0
Bellandur,"North Indian, Mughlai, Mediterranean",1500.0
Bellandur,"North Indian, Mughlai, Mediterranean, Iranian",1000.0
Bellandur,"North Indian, Mughlai, South Indian, Chinese",750.0
Bellandur,"North Indian, Rolls",400.0
Bellandur,"North Indian, Salad, Healthy Food",600.0
Bellandur,"North Indian, South Indian",268.1818181818182
Bellandur,"North Indian, South Indian, Andhra",500.0
Bellandur,"North Indian, South Indian, Andhra, Cafe",500.0
Bellandur,"North Indian, South Indian, Biryani, Continental",550.0
Bellandur,"North Indian, South Indian, Chinese",375.0
Bellandur,"North Indian, South Indian, Continental",1500.0
Bellandur,"North Indian, South Indian, Italian, Chinese, Fast Food",400.0
Bellandur,"North Indian, South Indian, Street Food, Chinese",300.0
Bellandur,"North Indian, Street Food, Desserts, Chinese",400.0
Bellandur,"North Indian, Street Food, Mithai",250.0
Bellandur,Pizza,600.0
Bellandur,"Pizza, Fast Food",737.5
Bellandur,"Pizza, Italian",500.0
Bellandur,"Rajasthani, North Indian",300.0
Bellandur,"Roast Chicken, Burger",400.0
Bellandur,"Rolls, North Indian, Chinese, Biryani",400.0
Bellandur,"Salad, Fast Food",600.0
Bellandur,"Salad, Healthy Food",350.0
Bellandur,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600.0
Bellandur,South Indian,244.82758620689654
Bellandur,"South Indian, Biryani",250.0
Bellandur,"South Indian, Chinese",350.0
Bellandur,"South Indian, Fast Food",300.0
Bellandur,"South Indian, Hyderabadi, Chinese",350.0
Bellandur,"South Indian, North Indian",300.0
Bellandur,"South Indian, North Indian, Chinese",338.46153846153845
Bellandur,"South Indian, North Indian, Chinese, Street Food",312.5
Bellandur,Street Food,169.23076923076923
Bellandur,"Street Food, Mithai",200.0
Bellandur,"Street Food, North Indian",300.0
Bellandur,"Tamil, South Indian, North Indian, Chinese",200.0
Bellandur,"Tea, Beverages, Fast Food",250.0
Bellandur,"Tea, Fast Food, Cafe",400.0
Bellandur,"Thai, Asian",550.0
Bommanahalli,Andhra,500.0
Bommanahalli,"Andhra, Chinese",300.0
Bommanahalli,"Andhra, North Indian",400.0
Bommanahalli,"Andhra, North Indian, Chinese, Biryani, Seafood",550.0
Bommanahalli,"Andhra, South Indian",450.0
Bommanahalli,"Andhra, South Indian, Fast Food",200.0
Bommanahalli,"Arabian, Kerala, North Indian, Chinese, BBQ",800.0
Bommanahalli,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",1200.0
Bommanahalli,Bakery,371.42857142857144
Bommanahalli,"Bakery, Cafe",350.0
Bommanahalli,"Bakery, Desserts",500.0
Bommanahalli,"Bakery, Fast Food, Beverages",250.0
Bommanahalli,"Bakery, Kerala",250.0
Bommanahalli,Beverages,200.0
Bommanahalli,"Beverages, Fast Food",250.0
Bommanahalli,Biryani,250.0
Bommanahalli,"Biryani, Hyderabadi, North Indian",700.0
Bommanahalli,"Biryani, North Indian",500.0
Bommanahalli,"Biryani, North Indian, Chinese",468.1818181818182
Bommanahalli,"Biryani, North Indian, South Indian",500.0
Bommanahalli,"Burger, Fast Food",500.0
Bommanahalli,Chinese,308.3333333333333
Bommanahalli,"Chinese, North Indian",500.0
Bommanahalli,"Chinese, North Indian, Biryani",150.0
Bommanahalli,"Chinese, North Indian, South Indian",400.0
Bommanahalli,"Chinese, Rolls, Momos",250.0
Bommanahalli,"Chinese, Sandwich, Juices",200.0
Bommanahalli,Desserts,600.0
Bommanahalli,"Desserts, Bakery",500.0
Bommanahalli,"Desserts, Italian, Pizza",800.0
Bommanahalli,Fast Food,264.2857142857143
Bommanahalli,"Fast Food, Beverages",275.0
Bommanahalli,"Fast Food, Chinese",400.0
Bommanahalli,"Fast Food, Desserts",200.0
Bommanahalli,"Fast Food, North Indian, South Indian, Chinese",300.0
Bommanahalli,"Finger Food, Fast Food",1500.0
Bommanahalli,"Healthy Food, Juices",300.0
Bommanahalli,"Hyderabadi, Biryani, North Indian",800.0
Bommanahalli,Juices,100.0
Bommanahalli,Kebab,250.0
Bommanahalli,"Kerala, North Indian, Chinese",400.0
Bommanahalli,"Kerala, South Indian",325.0
Bommanahalli,Mithai,250.0
Bommanahalli,Momos,200.0
Bommanahalli,"Mughlai, North Indian",500.0
Bommanahalli,North Indian,300.0
Bommanahalli,"North Indian, Biryani, Chinese",300.0
Bommanahalli,"North Indian, Biryani, Seafood",700.0
Bommanahalli,"North Indian, Chinese",265.625
Bommanahalli,"North Indian, Chinese, Bengali",500.0
Bommanahalli,"North Indian, Chinese, Biryani",300.0
Bommanahalli,"North Indian, Chinese, Fast Food",350.0
Bommanahalli,"North Indian, Chinese, Mughlai, Biryani",400.0
Bommanahalli,"North Indian, Fast Food",489.6666666666667
Bommanahalli,"North Indian, Mughlai, Chinese",500.0
Bommanahalli,"North Indian, South Indian",650.0
Bommanahalli,"North Indian, South Indian, Chinese",283.3333333333333
Bommanahalli,"North Indian, South Indian, Kerala, Chinese",350.0
Bommanahalli,"North Indian, Street Food",200.0
Bommanahalli,Pizza,750.0
Bommanahalli,"Pizza, Fast Food",400.0
Bommanahalli,South Indian,200.0
Bommanahalli,"South Indian, Chinese",275.0
Bommanahalli,"South Indian, Kebab, Chinese, Biryani",250.0
Bommanahalli,"South Indian, North Indian",500.0
Bommanahalli,"South Indian, North Indian, Chinese",383.3333333333333
Brigade Road,"American, Continental",2000.0
Brigade Road,"American, Continental, BBQ, Steak",1200.0
Brigade Road,"American, Continental, Fast Food, Steak",1500.0
Brigade Road,"American, Continental, Salad",2000.0
Brigade Road,"American, North Indian, Chinese",1500.0
Brigade Road,"Andhra, Biryani, North Indian",900.0
Brigade Road,"Asian, Continental, European, North Indian",1500.0
Brigade Road,Bakery,243.75
Brigade Road,"Bakery, Desserts, Beverages",450.0
Brigade Road,"Bakery, Fast Food",357.14285714285717
Brigade Road,"Bar Food, North Indian",1900.0
Brigade Road,"Beverages, Desserts",200.0
Brigade Road,"Beverages, Desserts, Ice Cream",400.0
Brigade Road,"Beverages, Fast Food",400.0
Brigade Road,"Beverages, Ice Cream",200.0
Brigade Road,Bihari,200.0
Brigade Road,"Burger, Desserts, Fast Food",550.0
Brigade Road,"Burger, Fast Food",472.22222222222223
Brigade Road,"Burger, Fast Food, Beverages",600.0
Brigade Road,Cafe,516.1290322580645
Brigade Road,"Cafe, American, Italian, Burger",650.0
Brigade Road,"Cafe, Bakery, Beverages, Burger, Continental",450.0
Brigade Road,"Cafe, Burger, Continental, Pizza, Steak",500.0
Brigade Road,"Cafe, Continental, European, Italian",700.0
Brigade Road,"Cafe, Continental, Italian",800.0
Brigade Road,"Cafe, Fast Food",588.8888888888889
Brigade Road,Chinese,200.0
Brigade Road,"Chinese, Arabian, Fast Food",500.0
Brigade Road,"Chinese, Continental, North Indian",2000.0
Brigade Road,"Chinese, Continental, North Indian, Burger, Pizza",2000.0
Brigade Road,"Chinese, Continental, North Indian, Italian",200.0
Brigade Road,"Chinese, Fast Food",300.0
Brigade Road,"Chinese, Fast Food, Momos",300.0
Brigade Road,"Chinese, Fast Food, Rolls",400.0
Brigade Road,"Chinese, Momos",520.0
Brigade Road,"Chinese, North Indian, Pizza",1000.0
Brigade Road,"Chinese, Thai, Momos",600.0
Brigade Road,"Chinese, Tibetan",600.0
Brigade Road,"Chinese, Tibetan, Momos",466.6666666666667
Brigade Road,"Continental, Burger, Cafe, Steak",800.0
Brigade Road,"Continental, Chinese",2000.0
Brigade Road,"Continental, Italian, North Indian, Pizza",1500.0
Brigade Road,"Continental, Mexican, Lebanese",600.0
Brigade Road,"Continental, North Indian",1300.0
Brigade Road,Desserts,330.64516129032256
Brigade Road,"Desserts, Bakery",300.0
Brigade Road,"Desserts, Beverages",450.0
Brigade Road,"Desserts, Beverages, Ice Cream",400.0
Brigade Road,"Desserts, Cafe, Beverages, Burger, Fast Food",550.0
Brigade Road,"Desserts, Ice Cream",163.63636363636363
Brigade Road,Fast Food,500.0
Brigade Road,"Fast Food, Bakery",250.0
Brigade Road,"Fast Food, Biryani, Chinese",1200.0
Brigade Road,"Fast Food, Biryani, Chinese, Seafood",1200.0
Brigade Road,"Fast Food, Burger, Beverages, Cafe, Desserts",500.0
Brigade Road,"Fast Food, Rolls, Momos",300.0
Brigade Road,"Fast Food, South Indian, Biryani",300.0
Brigade Road,Finger Food,1271.4285714285713
Brigade Road,"Finger Food, Continental, Pizza",1600.0
Brigade Road,"Healthy Food, Fast Food",500.0
Brigade Road,"Healthy Food, Sandwich, Salad",500.0
Brigade Road,"Healthy Food, South Indian",300.0
Brigade Road,Ice Cream,247.77777777777777
Brigade Road,"Ice Cream, Bakery, Desserts",200.0
Brigade Road,"Ice Cream, Desserts",211.25
Brigade Road,"Japanese, Chinese, Tibetan, Momos",500.0
Brigade Road,"Japanese, Sushi, Asian",1500.0
Brigade Road,"Juices, Beverages",100.0
Brigade Road,Kerala,441.1764705882353
Brigade Road,"Kerala, Chinese, South Indian, North Indian",400.0
Brigade Road,"Kerala, South Indian",200.0
Brigade Road,"Kerala, South Indian, North Indian, Chinese",400.0
Brigade Road,"Korean, Chinese, Japanese",1100.0
Brigade Road,"Mangalorean, Seafood",650.0
Brigade Road,"Mangalorean, Seafood, North Indian, Chinese",800.0
Brigade Road,"Mexican, American, Fast Food",600.0
Brigade Road,"Mithai, Street Food",400.0
Brigade Road,"Mughlai, North Indian, Desserts",1300.0
Brigade Road,North Indian,358.5365853658537
Brigade Road,"North Indian, Chinese",825.0
Brigade Road,"North Indian, Chinese, Continental, South Indian",700.0
Brigade Road,"North Indian, Chinese, Seafood",800.0
Brigade Road,"North Indian, Continental, Chinese, Italian",1100.0
Brigade Road,"North Indian, Fast Food",400.0
Brigade Road,"North Indian, Mughlai",700.0
Brigade Road,"North Indian, Mughlai, Kebab",700.0
Brigade Road,"North Indian, Mughlai, South Indian, Chinese",750.0
Brigade Road,"North Indian, South Indian, Continental",650.0
Brigade Road,"North Indian, South Indian, Continental, Chinese",1900.0
Brigade Road,"Pizza, Beverages",400.0
Brigade Road,"Pizza, Fast Food",480.7692307692308
Brigade Road,"Pizza, Italian, Continental, Desserts",800.0
Brigade Road,"Rajasthani, Gujarati",800.0
Brigade Road,"Rolls, Chinese",250.0
Brigade Road,"Rolls, Lebanese",250.0
Brigade Road,"Salad, Fast Food",600.0
Brigade Road,"Salad, Sandwich, Tea, Coffee",300.0
Brigade Road,"Seafood, Mangalorean, Chinese",700.0
Brigade Road,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",700.0
Brigade Road,South Indian,1260.0
Brigade Road,"South Indian, Beverages",200.0
Brigade Road,"South Indian, Biryani",256.25
Brigade Road,"South Indian, Chinese",234.7826086956522
Brigade Road,"South Indian, Chinese, North Indian",250.0
Brigade Road,"South Indian, North Indian",500.0
Brigade Road,"South Indian, North Indian, Chinese",275.0
Brigade Road,"South Indian, North Indian, Chinese, Rolls, Fast Food",400.0
Brigade Road,"South Indian, Street Food",400.0
Brigade Road,"South Indian, Street Food, North Indian",250.0
Brigade Road,"Street Food, Beverages",200.0
Brigade Road,"Street Food, Rolls",217.85714285714286
Brigade Road,Thai,700.0
Brigade Road,"Tibetan, Chinese, Momos",300.0
Brigade Road,"Tibetan, Momos",400.0
Brookefield,"Andhra, Biryani, Chinese",400.0
Brookefield,"Andhra, Biryani, Chinese, South Indian",800.0
Brookefield,"Andhra, Biryani, North Indian, Chinese",650.0
Brookefield,"Andhra, Chinese",300.0
Brookefield,"Andhra, Chinese, North Indian, Biryani",600.0
Brookefield,"Andhra, Chinese, South Indian",400.0
Brookefield,"Andhra, North Indian, Chinese, Biryani",500.0
Brookefield,"Andhra, North Indian, South Indian",300.0
Brookefield,"Andhra, South Indian",550.0
Brookefield,Arabian,300.0
Brookefield,"Arabian, Lebanese, Mughlai, North Indian, BBQ",600.0
Brookefield,"Arabian, Lebanese, Mughlai, North Indian, BBQ, Chinese",600.0
Brookefield,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400.0
Brookefield,"Arabian, North Indian, Biryani, Chinese, Seafood",750.0
Brookefield,Bakery,343.75
Brookefield,"Bakery, Desserts",377.77777777777777
Brookefield,"Bakery, Fast Food, Desserts",300.0
Brookefield,"Bakery, Fast Food, Juices",250.0
Brookefield,"Bengali, North Indian",350.0
Brookefield,"Bengali, North Indian, Chinese",400.0
Brookefield,"Bengali, Oriya, Chinese, North Indian",150.0
Brookefield,Beverages,300.0
Brookefield,"Beverages, Desserts",342.85714285714283
Brookefield,"Beverages, Fast Food",312.5
Brookefield,Biryani,250.0
Brookefield,"Biryani, Andhra, North Indian, Chinese",800.0
Brookefield,"Biryani, Beverages, South Indian",400.0
Brookefield,"Biryani, Kebab",300.0
Brookefield,"Biryani, North Indian, Chinese",500.0
Brookefield,Burger,300.0
Brookefield,"Burger, Desserts, Fast Food",550.0
Brookefield,"Burger, Fast Food",487.5
Brookefield,"Burger, Juices, Beverages, Fast Food, Cafe, Chinese, Coffee",600.0
Brookefield,Cafe,500.0
Brookefield,"Cafe, Bakery, Fast Food",400.0
Brookefield,"Cafe, Beverages",500.0
Brookefield,"Cafe, Burger, Beverages",650.0
Brookefield,"Cafe, Burger, Chinese, Fast Food, Beverages",600.0
Brookefield,"Cafe, Burger, Fast Food",400.0
Brookefield,"Cafe, Continental, American, Italian",600.0
Brookefield,"Cafe, Fast Food",900.0
Brookefield,"Cafe, Rolls, Fast Food",200.0
Brookefield,"Cafe, Street Food",300.0
Brookefield,"Chettinad, Chinese, South Indian",550.0
Brookefield,Chinese,200.0
Brookefield,"Chinese, Biryani",200.0
Brookefield,"Chinese, Momos",400.0
Brookefield,"Chinese, North Indian, Biryani, Juices",750.0
Brookefield,"Chinese, North Indian, South Indian",250.0
Brookefield,"Chinese, Rolls",150.0
Brookefield,"Chinese, Seafood, Momos",750.0
Brookefield,"Chinese, Thai",600.0
Brookefield,"Continental, Finger Food, North Indian, Chinese",1200.0
Brookefield,"Continental, North Indian, Chinese",1500.0
Brookefield,Desserts,250.0
Brookefield,"Desserts, Cafe, Beverages, Burger, Fast Food",550.0
Brookefield,"Desserts, Ice Cream",370.8333333333333
Brookefield,"Desserts, Ice Cream, Beverages",350.0
Brookefield,Fast Food,300.0
Brookefield,"Fast Food, Beverages",250.0
Brookefield,"Fast Food, Burger",285.7142857142857
Brookefield,"Fast Food, Burger, Beverages, Cafe, Desserts",500.0
Brookefield,"Fast Food, Continental, Desserts",450.0
Brookefield,"Fast Food, Kerala",100.0
Brookefield,"Fast Food, Sandwich, South Indian",150.0
Brookefield,"Fast Food, Tea",200.0
Brookefield,"Healthy Food, Beverages, Fast Food",500.0
Brookefield,"Ice Cream, Bakery, Desserts",200.0
Brookefield,"Ice Cream, Desserts",280.0
Brookefield,"Ice Cream, Juices",100.0
Brookefield,"Kebab, Mughlai, Biryani",400.0
Brookefield,Kerala,200.0
Brookefield,"Kerala, Chinese",500.0
Brookefield,"Kerala, South Indian, Seafood",500.0
Brookefield,Lebanese,150.0
Brookefield,"Mediterranean, Continental, Italian, Burger",500.0
Brookefield,"Mexican, American, Fast Food",600.0
Brookefield,Mithai,400.0
Brookefield,"Mithai, Street Food",344.44444444444446
Brookefield,"Momos, Fast Food",300.0
Brookefield,"Mughlai, Chinese, Kerala",600.0
Brookefield,"Mughlai, North Indian, Biryani",850.0
Brookefield,North Indian,432.0
Brookefield,"North Indian, Andhra, BBQ, Seafood, Chinese",800.0
Brookefield,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700.0
Brookefield,"North Indian, Bengali, Oriya",400.0
Brookefield,"North Indian, Bengali, Oriya, Chinese",500.0
Brookefield,"North Indian, Bihari, Rajasthani",300.0
Brookefield,"North Indian, Biryani, Chinese, Mughlai",500.0
Brookefield,"North Indian, Chinese",479.6296296296296
Brookefield,"North Indian, Chinese, American, Italian, Fast Food",400.0
Brookefield,"North Indian, Chinese, Biryani",388.46153846153845
Brookefield,"North Indian, Chinese, Italian",200.0
Brookefield,"North Indian, Chinese, Mithai",200.0
Brookefield,"North Indian, Chinese, Rolls",300.0
Brookefield,"North Indian, Continental",400.0
Brookefield,"North Indian, Continental, Asian, Pizza",1000.0
Brookefield,"North Indian, Fast Food, Beverages",250.0
Brookefield,"North Indian, Mughlai, Chinese",475.0
Brookefield,"North Indian, Mughlai, Fast Food",500.0
Brookefield,"North Indian, South Indian",400.0
Brookefield,"North Indian, South Indian, Chinese",350.0
Brookefield,"North Indian, South Indian, Chinese, Andhra, Biryani",750.0
Brookefield,"North Indian, South Indian, Chinese, Biryani",400.0
Brookefield,"North Indian, South Indian, Chinese, Fast Food",300.0
Brookefield,"North Indian, South Indian, Chinese, Street Food, Mithai",500.0
Brookefield,"North Indian, Street Food",500.0
Brookefield,"Pizza, Cafe, Italian",600.0
Brookefield,"Pizza, Fast Food",500.0
Brookefield,"Pizza, Italian, Desserts",900.0
Brookefield,"Rolls, Chinese",250.0
Brookefield,"Salad, Fast Food",600.0
Brookefield,South Indian,232.43243243243242
Brookefield,"South Indian, Biryani",800.0
Brookefield,"South Indian, Chinese, Street Food",250.0
Brookefield,"South Indian, North Indian",400.0
Brookefield,"South Indian, North Indian, Chinese",330.55555555555554
Brookefield,"South Indian, North Indian, Chinese, Fast Food",300.0
Brookefield,Street Food,371.42857142857144
Brookefield,"Street Food, Maharashtrian",200.0
Brookefield,"Tea, Beverages, Fast Food",250.0
CV Raman Nagar,Andhra,300.0
CV Raman Nagar,"Andhra, Biryani, North Indian, Beverages",300.0
CV Raman Nagar,"Bengali, North Indian",350.0
CV Raman Nagar,Beverages,150.0
CV Raman Nagar,"Beverages, Fast Food",500.0
CV Raman Nagar,Biryani,425.0
CV Raman Nagar,"Biryani, North Indian, Chinese, Seafood",800.0
CV Raman Nagar,"Burger, Fast Food, Healthy Food, Beverages",500.0
CV Raman Nagar,Cafe,300.0
CV Raman Nagar,"Chinese, North Indian",250.0
CV Raman Nagar,"Chinese, Thai, Momos",500.0
CV Raman Nagar,"Desserts, Ice Cream",228.57142857142858
CV Raman Nagar,Fast Food,300.0
CV Raman Nagar,"Fast Food, Beverages",300.0
CV Raman Nagar,"Healthy Food, Sandwich, Salad",500.0
CV Raman Nagar,Hyderabadi,300.0
CV Raman Nagar,"Hyderabadi, Biryani, North Indian",800.0
CV Raman Nagar,Ice Cream,150.0
CV Raman Nagar,"Juices, Beverages",150.0
CV Raman Nagar,"Juices, Desserts, Fast Food",200.0
CV Raman Nagar,Kerala,300.0
CV Raman Nagar,"Mexican, Fast Food",400.0
CV Raman Nagar,North Indian,235.0
CV Raman Nagar,"North Indian, Chinese",250.0
CV Raman Nagar,"North Indian, Chinese, Biryani",400.0
CV Raman Nagar,"North Indian, Chinese, Mughlai, Rolls",550.0
CV Raman Nagar,"North Indian, Chinese, Rolls",500.0
CV Raman Nagar,"Pizza, Fast Food",400.0
CV Raman Nagar,"Salad, Fast Food",600.0
CV Raman Nagar,South Indian,225.0
CV Raman Nagar,"South Indian, Biryani",400.0
CV Raman Nagar,"South Indian, Kerala",150.0
CV Raman Nagar,"South Indian, North Indian, Chinese, Biryani",450.0
CV Raman Nagar,"South Indian, North Indian, Street Food",250.0
CV Raman Nagar,"South Indian, Street Food",200.0
CV Raman Nagar,"Street Food, Mithai",150.0
